"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1";"D_SOD-123F";1;"PMEG2010AEH";;;
2;"R14,R8,R11,R13,R12,R10,R9,R7,R4,R2,R3,R1,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";13;"10k";;;
3;"TP1,TP2,TP_VDD_SDC_1,TP4,TP3";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";5;"TestPoint";;;
4;"U2";"OPA1678_L";1;"OPA1678IDGKT";;;
5;"R19,R17,R16,R18,R20,R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"4.7k";;;
6;"C3,C15";"CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder";2;"47uF Tant. 25V";;;
7;"IC1";"SOT95P275X120-5N";1;"NCP700BSN33T1G";;;
8;"C21,C4";"CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder";2;"10uF Tant. 25V";;;
9;"C25,C24";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1nF";;;
10;"U1";"TO-220-3_Horizontal_TabDown_GND_Pad";1;"L7805";;;
11;"L1";"L_1812_4532Metric_Pad1.30x3.40mm_HandSolder";1;"10uH";;;
12;"C35,C23,C22,C26,C27,C30,C29";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";7;"10uF";;;
13;"C5,C20,C13,C37,C36,C2,C10,C12,C11,C8,C14,C7,C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";13;"100nF";;;
14;"C17";"CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder";1;"100uF Tant. 25V";;;
15;"J1";"CON50_2X25_UF_FLE_SAI";1;"FLE-125-01-G-DV";;;
16;"PS1";"SOIC127P600X175-8N";1;"TPS6735ID";;;
17;"C19";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
18;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"optional: 82pF";;;
19;"R24";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"0R";;;
20;"C16";"CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder";1;"1uF, Tant. 25V";;;
21;"R23,R21,R22";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"22R";;;
22;"C1,C31,C32,C33";"C_0603_1608Metric";4;"PGB1010603";;;
23;"I2C2_1,JGPIO1,JDAC1,I2C4_1,JUART1,JTIM1,I2C3_1";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";7;"Conn_01x03_Socket";;;
24;"JSWD1";"CON10_2X5_DUK_FTSH_SAI-M";1;"FTSH-105-01-L-DV-K";;;
25;"L2";"L_Murata_DFE201610P";1;"2.2uH";;;
26;"JRadio1";"IDC-Header_2x10_P2.54mm_Vertical";1;"Conn_02x10_Odd_Even";;;
27;"FB1";"L_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"FBMJ1608";;;
28;"JADC1,JPOWER1";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";2;"Conn_01x02_Socket";;;
29;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"5k1";;;
30;"FB2";"L_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"FCM1608";;;
31;"C34,C18,C38";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"4.7uF low ESR";;;
32;"JFRAME1";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Conn_01x04_Socket";;;
33;"SW1";"SW_SPST_Omron_B3FS-100xP";1;"SW_Omron_B3FS";;;
34;"UHYPERRAM1";"TFBGA24_6X8_ISI";1;"IS66WVH16M8DBLL-100B1LI";;;
35;"UFLASH1";"BGA24C100P5X5_600X800X120";1;"MX25LM51245GXDI00";;;
36;"C28";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"220pF";;;
37;"X1";"NSC5004_NDK";1;"NSC5004A-25M";;;
38;"U3";"BGA_735IGK6_STM";1;"STM32H735IGK6";;;
