Designator,Mid X,Mid Y,Rotation,Layer
C1,108.225,-58.5,180.0,bottom
C10,133.9,-71.5,0.0,bottom
C11,115.3921,-59.4169,270.0,top
C12,107.575,-59.4169,270.0,top
C13,112.6997,-59.4169,270.0,top
C14,110.077,-59.4169,270.0,top
C15,133.444,-52.975,0.0,top
C16,133.5825,-66.8256,0.0,top
C17,133.4668,-60.9228,0.0,top
C18,138.125,-76.7656,180.0,top
C19,125.2135,-53.7231,270.0,top
C2,141.375,-65.0,0.0,bottom
C20,136.9337,-57.4346,270.0,top
C21,126.1,-74.1,0.0,top
C22,130.65,-74.1,180.0,top
C23,154.375,-62.1229,180.0,top
C24,148.9891,-62.0997,180.0,top
C3,141.375,-63.375,0.0,bottom
C4,105.3,-56.875,270.0,bottom
C5,102.375,-63.375,180.0,top
C6,126.1,-66.95,0.0,bottom
C7,108.55,-52.0,180.0,bottom
C8,111.3389,-52.0,270.0,bottom
C9,109.3114,-72.6351,90.0,top
Ctrl,147.875,-78.0,0.0,top
D1,109.9914,-71.7279,180.0,bottom
IC1,109.47,-65.5562,90.0,top
IQ_Balance,116.35,-64.025,0.0,top
I_In_Tx,155.025,-67.6,90.0,top
I_Out,146.575,-52.65,180.0,top
K1,109.7304,-64.937,180.0,bottom
L1,114.4,-52.65,0.0,bottom
L2,106.6,-72.6222,90.0,top
L3,105.4181,-63.5181,90.0,top
Q_In_Tx,149.6558,-67.5642,90.0,top
Q_Out,146.575,-57.85,180.0,top
R1,119.6,-74.425,0.0,bottom
R10,116.675,-55.9,90.0,top
R11,108.875,-55.9,90.0,top
R12,114.075,-55.9,90.0,top
R13,111.475,-55.9,90.0,top
R14,139.109,-64.4743,0.0,top
R15,139.1673,-69.5827,0.0,top
R16,138.1504,-78.9552,0.0,top
R17,138.0811,-74.6014,0.0,top
R18,126.257,-56.7384,180.0,top
R19,133.4898,-58.6163,180.0,top
R2,109.9878,-74.0813,180.0,bottom
R20,139.109,-66.6934,0.0,top
R21,139.1673,-71.8019,0.0,top
R22,127.3727,-53.7678,90.0,top
R23,136.8173,-52.4991,90.0,top
R24,142.9686,-64.4792,0.0,top
R25,143.0269,-69.5846,0.0,top
R26,142.9686,-62.3429,0.0,top
R27,143.0269,-71.8019,0.0,top
R3,133.25,-74.425,270.0,bottom
R4,131.625,-74.425,90.0,bottom
R5,137.8,-65.0,0.0,bottom
R6,119.6,-66.625,180.0,bottom
R7,114.075,-72.6065,270.0,top
R8,111.7405,-72.5967,270.0,top
R9,103.8708,-72.6122,90.0,top
RF_In,102.375,-67.6,0.0,top
RF_Out,102.4375,-59.0549,0.0,top
Supply,128.375,-78.0,0.0,top
Tx,113.1,-77.975,0.0,top
U1,108.55,-54.925,0.0,bottom
U2,126.425,-70.85,0.0,bottom
U3,139.75,-67.6,270.0,bottom
U4,133.9,-67.925,90.0,bottom
U5,123.3868,-61.789,0.0,top
U6,123.3891,-68.4127,0.0,top
U7,132.5323,-55.5655,0.0,top
U8,132.725,-63.8529,0.0,top
U9,132.8624,-69.9174,0.0,top
Y1,145.6,-67.275,270.0,bottom
